id,question,answer,ground_truth,contexts_count,faithfulness,answer_correctness,context_precision,context_recall,avg_score,status,engine
1,Is BNS 2023 replacing IPC 1860 in India?,"Yes, Bharatiya Nyaya Sanhita 2023 replaced the Indian Penal Code from 1 July 2024.",BNS 2023 replaced IPC 1860 from 1 July 2024.,1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
2,Does EXIF metadata alone prove an image is fake?,"No, EXIF metadata alone cannot prove forgery. It is only one supporting signal alongside ELA and CNN classification.","Metadata is a supporting forgery signal, not absolute proof.",1,0.0,1.0,1.0,1.0,0.75,pass,gemini-judge
3,Was J.P. Morgan Indian?,"No. J.P. Morgan was an American financier and banker, not Indian.","J.P. Morgan was American, not Indian.",1,0.0,1.0,1.0,1.0,0.75,pass,gemini-judge
4,Which law is the primary criminal code in India after 1 July 2024?,The Bharatiya Nyaya Sanhita (BNS) 2023 is the primary criminal code in India from 1 July 2024.,BNS 2023 is the primary criminal code from 1 July 2024.,1,1.0,1.0,1.0,0.7273,0.9318,pass,gemini-judge
5,Is 'anti-national' a defined criminal offence under Indian law?,"No. 'Anti-national' is a political or opinion label, not a defined offence in the BNS or the Constitution.",'Anti-national' is not a defined legal offence; it is an opinion label.,1,0.5333,0.4615,1.0,0.6364,0.6578,partial,gemini-judge
6,What does Error Level Analysis (ELA) detect in an image?,ELA re-saves an image as JPEG and measures compression differences to highlight regions that may have been edited.,ELA highlights edited regions by comparing JPEG re-compression error levels.,1,0.2222,0.2143,1.0,0.3,0.4341,fail,gemini-judge
7,Can editing software tags in metadata indicate image manipulation?,Yes. Editing-software tags such as Photoshop in the EXIF Software field are a signal that an image may have been edited.,"An editing-software tag like Photoshop is a manipulation signal, not proof.",1,0.4286,0.25,1.0,0.4545,0.5333,partial,gemini-judge
8,Does the Constitution of India guarantee freedom of speech?,"Yes. Article 19(1)(a) of the Constitution of India guarantees freedom of speech and expression, subject to reasonable restrictions.","Yes, Article 19(1)(a) guarantees freedom of speech with reasonable restrictions.",1,0.8125,0.6154,1.0,0.8,0.807,pass,gemini-judge
9,Who won the 2023 Cricket World Cup final?,"Australia won the 2023 Cricket World Cup final, defeating India.","Australia won the 2023 Cricket World Cup final, beating India.",1,0.6,0.9,1.0,0.6,0.775,pass,gemini-judge
10,Is the Earth flat?,"No. The Earth is an oblate spheroid, confirmed by extensive scientific evidence.","No, the Earth is roughly spherical (an oblate spheroid).",1,0.5833,0.381,1.0,1.0,0.7411,pass,gemini-judge
